id	name_fr	name_en
19c42f40-a8df-4768-bb89-ff66c38eae54	○ étirement des muscles de la cuisse	Knee to Chest Stretch
1499d592-dd22-48ed-9bc1-148aa85f30b4	Ab rollout barre	Barbell Ab Rollout
22dc0b25-faad-4d0d-9aa2-1bea583bd86a	Abduction hanches assis	Seated Hip Abduction
bb3be6e0-0850-4612-ae6a-a2ff9f9bd11e	Abduction hanches machine	Machine Hip Abduction
7eefe1b3-b826-422b-95ee-400ee2e9b14b	Abduction hanches supination	Supine Hip Abduction
a734caec-afb3-4c27-b1b7-62e038a7d3d3	Adduction de Copenhague	Copenhagen Adduction Exercise
ec5fba82-052c-4146-8fff-875a0ccf4f58	Adduction hanches assis	Seated Hip Adduction
1de2307f-dc6f-4d8e-bd41-3c7e2f98376d	Applaudissements au-dessus de la tête	Claps over the head
c45bc861-6ea2-42de-968d-3f2ae3d0e38c	Arabesque	Arabesque
302e23fd-50cb-4719-aa20-370690de80c7	Arnold Press Haltères	Arnold Shoulder Press
56b1e5b5-5f67-4941-9538-40c5fa7fed89	Arraché olympique	Snatch OL
8eccdfcb-cb06-40e5-982e-a8eeb7d737b1	Aspiration abdominale	Abdominal Draw-In
99dbafb5-0ef2-4771-942f-3839f62cfa51	Balancement jambes avant-arrière	Leg Swings (Front–Back)
fe042277-ef07-406a-a5ec-978114eac800	Balancement jambes croisé	Crossbody Leg Swings
1a842bf1-6b3b-4efc-99ed-398de30905ab	Ball slams	Ball Slams
3f559914-6b72-4b42-a146-567dbfba879b	Bande d'exercice dorsiflexion	Exercise Band Dorsiflexion
a9b21057-970f-4435-870e-16699f6e1b15	Bande d'exercice plantarflexion	Exercise Band Plantarflexion
54acabb2-1176-4ad7-a670-230a86a900d3	Bande en caoutchouc fessière kickback	rubber band glute kickback
456756f2-be1e-47f4-818c-0b0d785929db	Bear crawl tirage	Bear crawl pull through
7a446572-b43b-42df-9b44-4e6279ac0f33	Bear walk 2	Bear Walk 2
c4717a52-d3b4-4afb-8d0b-0315964159ab	Bent high pulls	Bent High Pulls
c056a834-553b-467b-9bb5-96b675c44a42	Bird dog	Bird Dog
042b4b24-aede-4134-8bab-77f7b71e23ad	Blaze	Blaze
28efa800-3387-4936-9e92-ce511b2c44a3	Boucle de biceps à bras unique TRX	Trx Single Arm Bicep Curl
dad09fe4-57ef-4bd9-9a6e-029b812b72ef	Boucle de biceps couché	lying bicep curl
bb39c335-c74b-4bf1-986e-b06031df6087	Boucle de prédicateur - rotation externe	Preacher Curl - Externally Rotated
27249c8a-571c-4271-b2a6-8b6f917be858	Boucle de prédicateur - rotation interne	Preacher Curl - Internally Rotated
1b918356-b94c-4527-940f-c85b88fbeb74	Boucles barbell à poignée inversée	Reverse Grip Barbell Curls
8a4ac2fd-f366-44de-be0a-4cc62355954d	Box jumps	box jumps
104b8736-dfa4-416d-a04a-65d237b30c21	Bus drivers	BUS DRIVERS
d48be133-f991-4ff6-93b8-96702f975ab0	Butterfly	Butterfly
bf07337e-05e1-40df-8aa3-46094fbd0855	Butterfly inversé	Butterfly Reverse
2fad5c11-d649-4d19-9fdb-7b77e8536a2b	Butterfly prise serrée	Butterfly Narrow Grip
6500fa22-8ee9-4b17-a12e-2f4ca3c025f7	Câble assis à mi-piège haussement d'épaules	SEATED CABLE MID TRAP SHRUG
bd729448-a4a1-4ab0-98ad-1c59297f4007	Câble de poulie basse ffly	Low Pulley Cable fFly
0c238248-28eb-431d-9dd2-ff26d9c5509d	Câble omni cross-over	Omni Cable Cross-over
e3893001-8cc0-43b1-8542-f1ef19ae5c4c	Câble transversal unilatéral tirant vers le bas	unilateral cross body cable pull down
e58fa8eb-e42a-4610-b0d8-b94bbe78e708	Chaise au mur	Wall Squat
3a01197a-41b6-456d-8b74-bdbd9179cec8	Ciseaux	Scissors
e47431db-ec90-4940-a643-37efb67b095b	Clamshell	Clamshell
09566d08-7374-4df1-b080-dbc6e49b5350	Clamshell élastique	Banded Clamshell
0c62ff19-81e4-4c10-bbf7-3ff631fb2ba2	Climb mill	ClimbMill
fbf93a1e-0b96-4357-9945-13323cb6ee8f	Cordes de combat	Battle Ropes
6364737a-3990-4e8b-9b92-132500c2e6ee	Crêpe assise bonjour	Seated Pancake Good Morning
3de0596f-d403-434d-a49c-b5d4404fb495	Crêpe debout bonjour	Standing Pancake Good Morning
60b4f0df-102d-4f25-84eb-24c8f4334b89	Croisement poulie vis-à-vis	Cable Cross-over
18f733b6-80fe-47a5-93b4-d372848a83f7	Croix suspendu	Suspended crossess
9b67f8af-da68-4314-82dc-cbf00dc1d58d	Crunch à genoux poulie	Crunches With Cable
a6466186-556c-4b25-909e-1322a71a3a38	Crunch assis machine	Crunches on Machine
e57f4278-a092-4bda-bac1-5cd4001950d7	Crunch inversé	Reverse crunch
