IMP | 1-Arm Half-Kneeling Lat Pulldown | Pulldown lat à demi-genoux 1 bras
IMP | Ab wheel | Roue ab
IMP | Abdominal Draw-In | Aspiration abdominale
IMP | Abdominal Stabilization | Stabilisation abdominale
IMP | Alternate back lunges | Alterner les fentes arrière
IMP | Alternating Biceps Curls With Dumbbell | Alterner les boucles du biceps avec un haltère
IMP | Alternating dumbbell hammer curl | Curl marteau alterné assis avec haltères
IMP | Alternating High Cable Row | Alterner la rangée de câbles haute
IMP | Alternative DB Gorilla rows | Rangées alternatives de gorilles DB
IMP | ankle dorsiflexion rocks | roches dorsiflexion cheville
IMP | Arabesque | Arabesque
IMP | Archer Pull Up | Archer Pull Up
IMP | Arco femorale una gamba | Arco femorale una gamba
IMP | Arm Raises (T/Y/I) | Élévations des bras (T/Y/I)
SYS | Arnold Shoulder Press | Arnold Press Haltères
IMP | Australian pull-ups | Tractions australiennes
IMP | Back extensión | Retour extensión
IMP | Bag training | Formation sur les sacs
IMP | Ball Slams | Ball Slams
IMP | Band pull-apart with external rotation | Band pull-apart avec rotation externe
IMP | Banded Clamshell | Clamshell à bande
IMP | Banded Scapular Retraction | Rétraction scapulaire en bande
IMP | Banded Shoulder Drills | Perceuses à bandoulière rayée
IMP | Barbell Ab Rollout | Panneau déroulant Barbell Ab
IMP | Barbell Bench Press - NB | Barbell Bench Press - NB
IMP | Barbell Clean and press | Barbell Nettoyer et presser
IMP | Barbell Full Squat | Barbell Squat complet
IMP | Barbell Hip Thrust | Poussée de hanche Barbell
IMP | Barbell Hip Thrust | Poussée de hanche Barbell
IMP | Barbell Lunges Standing | Fentes de barbelé debout
IMP | Barbell Romanian Deadlift (RDL) | Soulèvement mort roumain de Barbell (RDL)
IMP | Barbell Row (Overhand) | Barbell Row (Overhand)
IMP | Barbell Row (Underhand) | Barbell Row (Underhand)
IMP | Barbell squat | Haltères Squat
IMP | Barbell Step Back Lunge | Fente de marche arrière Barbell
IMP | Barbell Triceps Extension | Rallonge de triceps Barbell
IMP | Barbell Wrist Curl | Boucle de poignet Barbell
IMP | Battle Ropes | Cordes de combat
IMP | Bayesian Curl | Boucle bayésienne
IMP | Bear crawl pull through | Tirer le crawl de l'ours à travers
IMP | Bear Walk 2 | Bear Walk 2
IMP | Behind the Back Cable Lateral Raise | Derrière le câble arrière Élévation latérale
IMP | Bench Dips On Floor HD | Bench Dips On Floor HD
SYS | Bench Press | Développé couché
IMP | Bench Press Dumbbell | Haltère Bench Press
IMP | Bench Press Narrow Grip | Poignée étroite de la presse de banc
IMP | Benchpress Dumbbells | Développé couché avec haltères
IMP | Bent High Pulls | Bent High Pulls
IMP | Bent over Cable Flye | Bent over Cable Flye
IMP | Bent Over Dumbbell Rows | Courbé sur les rangées d'haltères
IMP | Bent Over Rowing | Courbé sur aviron
IMP | Bent Over Rowing Reverse | Bent Over Rowing Reverse
IMP | Bent Over Rowing Reverse | Bent Over Rowing Reverse
IMP | Biceps Close Grip Pull Down | Biceps Fermer Poignée Tirer vers le bas
IMP | Biceps Curl Machine | Machine à boucler les biceps
IMP | Biceps Curl With Cable | Boucle des biceps avec câble
SYS | Biceps Curls With Barbell | Curls stricts barre
IMP | Biceps Curls With Dumbbell | Boucles de biceps avec haltères
